file,ref,hyp,cer,time_ms
12345555_101_101_wallpad_1564174460_2025-11-07 16_32_45_좀 추데 안방 난방 켜줘.wav,좀 추데 안방 난방 켜줘,좀주내 안방 난방 켜줘,22.2,447
12345555_101_101_wallpad_1564194460_2025-11-07 16_33_05_안방이 좀 추운데 난방 좀 켜줘.wav,안방이 좀 추운데 난방 좀 켜줘,안방이 좀 추운데방 좀 켜줘,8.3,461
12345555_101_101_wallpad_1564203460_2025-11-07 16_33_15_안방에 난방 켜.wav,안방에 난방 켜, 켜,83.3,457
12345555_101_101_wallpad_1564212460_2025-11-07 16_33_24_안방 너무 추워 터 켜줘.wav,안방 너무 추워 터 켜줘,무 추워켜줘,44.4,450
12345555_101_101_wallpad_1564222460_2025-11-07 16_33_33_안방 온도 좀 올려줘.wav,안방 온도 좀 올려줘,안방 온도 좀 올려줘,0.0,446
12345555_101_101_wallpad_1564230460_2025-11-07 16_33_42_방 따뜻하게 해줘.wav,방 따뜻하게 해줘,하게 해줘,42.9,445
12345555_101_101_wallpad_1564244460_2025-11-07 16_33_56_거실 난방 꺼줘.wav,거실 난방 꺼줘,거실만 꺼줘,33.3,439
12345555_101_101_wallpad_1564252460_2025-11-07 16_34_04_거실 난방 꺼줘.wav,거실 난방 꺼줘,거실 난방 꺼줘,0.0,433
12345555_101_101_wallpad_1564270460_2025-11-07 16_34_22_거실 안방 켜줘.wav,거실 안방 켜줘,,100.0,435
12345555_101_101_wallpad_1564291460_2025-11-07 16_34_43_거실 난방 켜.wav,거실 난방 켜,거실 켜,40.0,431
12345555_101_101_wallpad_1564308460_2025-11-07 16_34_59_거실 난방 좀 틀어줘.wav,거실 난방 좀 틀어줘,거실 틀어줘,37.5,436
12345555_101_101_wallpad_1564330460_2025-11-07 16_35_22_거실 온도 좀 높여줘.wav,거실 온도 좀 높여줘,거실 온도 좀 높여줘,0.0,442
12345555_101_101_wallpad_1564361460_2025-11-07 16_35_52_거실 히터 켜.wav,거실 히터 켜,거실터 켜,20.0,445
12345555_101_101_wallpad_1564370460_2025-11-07 16_36_01_거실 따뜻하게 해줘.wav,거실 따뜻하게 해줘,거실따뜻하게 해줘,0.0,443
12345555_101_101_wallpad_1564382460_2025-11-07 16_36_14_거실 온도 내려줘.wav,거실 온도 내려줘,거실 온도 내려줘,0.0,449
12345555_101_101_wallpad_1564407460_2025-11-07 16_36_39_거실 아 만 꺼.wav,거실 아 만 꺼,거실 아 다 꺼,20.0,438
12345555_101_101_wallpad_1564425460_2025-11-07 16_36_57_현재 거실 난방 설정 온도 몇이야.wav,현재 거실 난방 설정 온도 몇이야,정 도 몇이야,61.5,430
12345555_101_101_wallpad_1564437460_2025-11-07 16_37_09_지금 거실 온도 몇 도야.wav,지금 거실 온도 몇 도야,지금 거실 온도 몇 도야,0.0,431
12345555_101_101_wallpad_1564447460_2025-11-07 16_37_19_거실 난방 몇 도로 돼 있어.wav,거실 난방 몇 도로 돼 있어,거실 난방 몇 도로 돼 있어,0.0,435
12345555_101_101_wallpad_1564459460_2025-11-07 16_37_30_거실 설정 온도 알려줘.wav,거실 설정 온도 알려줘,거실 설정 온도 알려줘,0.0,455
12345555_101_101_wallpad_1564474460_2025-11-07 16_37_45_거실이 지금 몇 도야.wav,거실이 지금 몇 도야,거실이 지금 몇 도야,0.0,431
12345555_101_101_wallpad_1564504460_2025-11-07 16_38_16_거실 온도 상태 알려줘.wav,거실 온도 상태 알려줘,거실 온도 상태 알려줘,0.0,441
12345555_101_101_wallpad_1564519460_2025-11-07 16_38_30_난방 온도 낮춰줘.wav,난방 온도 낮춰줘,방온도 낮춰줘,14.3,437
12345555_101_101_wallpad_1564550460_2025-11-07 16_39_01_온도 좀 내려줘.wav,온도 좀 내려줘,온도 좀 내려줘,0.0,441
12345555_101_101_wallpad_1564569460_2025-11-07 16_39_21_난방 조금만 낮춰줘.wav,난방 조금만 낮춰줘,,100.0,435
12345555_101_101_wallpad_1564584460_2025-11-07 16_39_36_너무 더워 난방 좀 줄여줘.wav,너무 더워 난방 좀 줄여줘,난방 좀 줄여줘,40.0,433
12345555_101_101_wallpad_1564597460_2025-11-07 16_39_49_히터 온도 낮춰줘.wav,히터 온도 낮춰줘,히터 온도 낮춰줘,0.0,434
12345555_101_101_wallpad_1564609460_2025-11-07 16_40_01_모든난방 꺼줘.wav,모든난방 꺼줘,든바 꺼줘,50.0,434
12345555_101_101_wallpad_1564630460_2025-11-07 16_40_22_전체 다방 꺼.wav,전체 다방 꺼,전체 당방 꺼,20.0,435
12345555_101_101_wallpad_1564652460_2025-11-07 16_40_44_전부 안방 끄기.wav,전부 안방 끄기,전부 난방 끄기,16.7,403
12345555_101_101_wallpad_1564680460_2025-11-07 16_41_12_난방 다 꺼줘.wav,난방 다 꺼줘,난방 다 꺼줘,0.0,435
12345555_101_101_wallpad_1564704460_2025-11-07 16_41_35_모든 방이 난방 꺼줘.wav,모든 방이 난방 꺼줘,모방 꺼줘,50.0,440
12345555_101_101_wallpad_1564728460_2025-11-07 16_42_00_난방 습팔도로 낮춰줘.wav,난방 습팔도로 낮춰줘, 스팔도로 낮춰줘,33.3,434
12345555_101_101_wallpad_1564753460_2025-11-07 16_42_25_난방 습팔도로 맞춰줘.wav,난방 습팔도로 맞춰줘,난방 스팔드로 맞춰줘,22.2,430
12345555_101_101_wallpad_1564765460_2025-11-07 16_42_37_십팔도로 설정해줘.wav,십팔도로 설정해줘,도로 설정해줘,25.0,429
12345555_101_101_wallpad_1564791460_2025-11-07 16_43_02_온도 십파도로 바꿔줘.wav,온도 십파도로 바꿔줘,오늘 도로 바꿔줘,44.4,428
12345555_101_101_wallpad_1564836460_2025-11-07 16_43_48_나시팔지도.wav,나시팔지도,,100.0,431
12345555_101_101_wallpad_1564848460_2025-11-07 16_44_00_난방 십칠도로 맞춰줘.wav,난방 십칠도로 맞춰줘,난방 십칠도로 맞춰줘,0.0,434
